R_fighter,B_fighter,R_odds,B_odds,R_ev,B_ev,date,location,country_code,Winner,title_bout,weight_class,gender,no_of_rounds,B_losses,B_wins,B_Stance,B_Height_cms,B_Reach_cms,B_Weight_lbs,R_losses,R_wins,R_age,B_age,total_fight_time_secs,R_Stance,R_Height_cms,R_Reach_cms,R_Weight_lbs,City,State
Thiago Santos,Johnny Walker,-150,130,66.66666666666666,130.0,2021-10-02,"Las Vegas, Nevada, USA",US,Red,False,LHW,MALE,5,2,5,Orthodox,198.12,208.28,205,8,13,37,29,1500.0,Orthodox,187.96,193.04,205,Las Vegas,Nevada
Alex Oliveira,Niko Price,170,-200,170.0,50.0,2021-10-02,"Las Vegas, Nevada, USA",US,Blue,False,WW,MALE,3,5,6,Orthodox,182.88,193.04,170,8,11,33,32,900.0,Orthodox,180.34,193.04,170,Las Vegas,Nevada
Misha Cirkunov,Krzysztof Jotko,110,-130,110.0,76.92307692307693,2021-10-02,"Las Vegas, Nevada, USA",US,Blue,False,MW,MALE,3,5,9,Southpaw,185.42,195.58,185,4,6,34,32,900.0,Orthodox,190.5,195.58,205,Las Vegas,Nevada
Alexander Hernandez,Mike Breeden,-675,475,14.814814814814811,475.0,2021-10-02,"Las Vegas, Nevada, USA",US,Red,False,LW,MALE,3,1,0,Orthodox,177.8,177.8,155,3,4,29,32,80.0,Orthodox,175.26,182.88,155,Las Vegas,Nevada
Joe Solecki,Jared Gordon,-135,115,74.07407407407408,115.0,2021-10-02,"Las Vegas, Nevada, USA",US,Blue,False,LW,MALE,3,3,5,Orthodox,175.26,172.72,145,0,4,28,33,900.0,Orthodox,175.26,177.8,155,Las Vegas,Nevada
Antonina Shevchenko,Casey O'Neill,215,-265,215.0,37.735849056603776,2021-10-02,"Las Vegas, Nevada, USA",US,Blue,False,WFLY,FEMALE,3,0,2,Orthodox,167.64,175.26,125,3,4,36,23,587.0,Southpaw,172.72,170.18,125,Las Vegas,Nevada
Bethe Correia,Karol Rosa,500,-720,500.0,13.88888888888889,2021-10-02,"Las Vegas, Nevada, USA",US,Blue,False,WBW,FEMALE,3,0,3,Orthodox,165.1,170.18,135,5,5,38,26,900.0,Orthodox,165.1,162.56,135,Las Vegas,Nevada
Devonte Smith,Jamie Mullarkey,-155,135,64.51612903225806,135.0,2021-10-02,"Las Vegas, Nevada, USA",US,Blue,False,LW,MALE,3,2,1,Orthodox,182.88,187.96,155,1,4,28,27,471.0,Orthodox,175.26,193.04,155,Las Vegas,Nevada
Douglas Silva de Andrade,Gaetano Pirrello,-280,225,35.714285714285715,225.0,2021-10-02,"Las Vegas, Nevada, USA",US,Red,False,BW,MALE,3,1,0,Orthodox,170.18,165.1,135,4,4,36,29,124.0,Orthodox,170.18,172.72,145,Las Vegas,Nevada
Stephanie Egger,Shanna Young,-155,135,64.51612903225806,135.0,2021-10-02,"Las Vegas, Nevada, USA",US,Red,False,WBW,FEMALE,3,2,0,Orthodox,170.18,165.1,135,1,0,33,30,442.0,Orthodox,167.64,172.72,135,Las Vegas,Nevada
Alejandro Perez,Johnny Eduardo,-300,235,33.33333333333333,235.0,2021-10-02,"Las Vegas, Nevada, USA",US,Red,False,BW,MALE,3,4,3,Orthodox,170.18,180.34,135,3,7,32,43,553.0,Orthodox,167.64,165.1,145,Las Vegas,Nevada
Alexander Volkanovski,Brian Ortega,-180,155,55.55555555555556,155.0,2021-09-25,"Las Vegas, Nevada, USA",US,Red,True,FW,MALE,5,1,7,Switch,172.72,175.26,145,0,9,32,30,1500.0,Orthodox,167.64,180.34,145,Las Vegas,Nevada
Valentina Shevchenko,Lauren Murphy,-1375,800,7.272727272727272,800.0,2021-09-25,"Las Vegas, Nevada, USA",US,Red,True,WFLY,FEMALE,5,4,7,Orthodox,165.1,170.18,125,2,10,33,38,1140.0,Southpaw,165.1,167.64,125,Las Vegas,Nevada
Nick Diaz,Robbie Lawler,140,-160,140.0,62.5,2021-09-25,"Las Vegas, Nevada, USA",US,Blue,False,MW,MALE,3,14,19,Southpaw,180.34,187.96,170,7,19,38,39,644.0,Southpaw,185.42,193.04,170,Las Vegas,Nevada
Curtis Blaydes,Jairzinho Rozenstruik,-380,290,26.31578947368421,290.0,2021-09-25,"Las Vegas, Nevada, USA",US,Red,False,HW,MALE,3,2,6,Orthodox,187.96,198.12,242,3,9,30,33,900.0,Orthodox,193.04,203.2,265,Las Vegas,Nevada
Jessica Andrade,Cynthia Calvillo,-220,180,45.45454545454545,180.0,2021-09-25,"Las Vegas, Nevada, USA",US,Red,False,WFLY,FEMALE,3,2,6,Orthodox,162.56,162.56,125,7,12,30,34,294.0,Orthodox,154.94,157.48,125,Las Vegas,Nevada
Marlon Moraes,Merab Dvalishvili,245,-310,245.0,32.25806451612903,2021-09-25,"Las Vegas, Nevada, USA",US,Blue,False,BW,MALE,3,2,6,Orthodox,167.64,172.72,135,4,5,33,30,565.0,Orthodox,167.64,170.18,135,Las Vegas,Nevada
Dan Hooker,Nasrat Haqparast,-150,130,66.66666666666666,130.0,2021-09-25,"Las Vegas, Nevada, USA",US,Red,False,LW,MALE,3,2,5,Southpaw,177.8,182.88,155,6,10,31,26,900.0,Switch,182.88,190.5,155,Las Vegas,Nevada
Shamil Abdurakhimov,Chris Daukaus,180,-220,180.0,45.45454545454545,2021-09-25,"Las Vegas, Nevada, USA",US,Blue,False,HW,MALE,3,0,3,Orthodox,190.5,193.04,250,3,5,40,32,383.0,Orthodox,190.5,193.04,235,Las Vegas,Nevada
Roxanne Modafferi,Taila Santos,300,-400,300.0,25.0,2021-09-25,"Las Vegas, Nevada, USA",US,Blue,False,WFLY,FEMALE,3,1,3,Orthodox,167.64,172.72,125,8,4,39,28,900.0,Orthodox,170.18,175.26,125,Las Vegas,Nevada
Uros Medic,Jalin Turner,-115,-105,86.95652173913044,95.23809523809524,2021-09-25,"Las Vegas, Nevada, USA",US,Blue,False,LW,MALE,3,2,4,Southpaw,190.5,195.58,155,0,2,28,26,241.0,Southpaw,185.42,180.34,155,Las Vegas,Nevada
Cody Brundage,Nick Maximov,125,-145,125.0,68.96551724137932,2021-09-25,"Las Vegas, Nevada, USA",US,Blue,False,MW,MALE,3,0,1,Southpaw,182.88,193.04,185,1,0,27,23,900.0,Orthodox,182.88,182.88,185,Las Vegas,Nevada
Matthew Semelsberger,Martin Sano,-525,385,19.047619047619047,385.0,2021-09-25,"Las Vegas, Nevada, USA",US,Red,False,WW,MALE,3,0,0,Orthodox,180.34,190.5,170,1,2,28,30,15.0,Switch,185.42,190.5,170,Las Vegas,Nevada
Jonathan Pearce,Omar Morales,140,-160,140.0,62.5,2021-09-25,"Las Vegas, Nevada, USA",US,Red,False,FW,MALE,3,1,4,Orthodox,180.34,185.42,145,1,2,29,35,511.0,Switch,182.88,180.34,145,Las Vegas,Nevada
Anthony Smith,Ryan Spann,-150,130,66.66666666666666,130.0,2021-09-18,"Las Vegas, Nevada, USA",US,Red,False,LHW,MALE,5,2,6,Orthodox,195.58,200.66,205,8,12,33,30,227.0,Orthodox,193.04,193.04,205,Las Vegas,Nevada
Ion Cutelaba,Devin Clark,-170,150,58.82352941176471,150.0,2021-09-18,"Las Vegas, Nevada, USA",US,Red,False,LHW,MALE,3,5,6,Orthodox,182.88,190.5,205,5,4,27,31,900.0,Southpaw,185.42,190.5,205,Las Vegas,Nevada
Ariane Lipski,Mandy Bohm,-125,105,80.0,105.0,2021-09-18,"Las Vegas, Nevada, USA",US,Red,False,WFLY,FEMALE,3,0,0,Orthodox,170.18,180.34,125,4,2,27,32,900.0,Orthodox,167.64,170.18,125,Las Vegas,Nevada
Arman Tsarukyan,Christos Giagos,-850,575,11.76470588235294,575.0,2021-09-18,"Las Vegas, Nevada, USA",US,Red,False,LW,MALE,3,4,5,Orthodox,177.8,180.34,155,1,3,24,31,129.0,Orthodox,170.18,182.88,155,Las Vegas,Nevada
Nate Maness,Tony Gravely,170,-200,170.0,50.0,2021-09-18,"Las Vegas, Nevada, USA",US,Red,False,BW,MALE,3,1,3,Orthodox,165.1,175.26,135,0,2,30,29,430.0,Orthodox,177.8,182.88,135,Las Vegas,Nevada
Joaquin Buckley,Antonio Arroyo,-180,155,55.55555555555556,155.0,2021-09-18,"Las Vegas, Nevada, USA",US,Red,False,MW,MALE,3,2,2,Orthodox,190.5,185.42,185,2,2,27,32,746.0,Southpaw,177.8,193.04,185,Las Vegas,Nevada
Mike Rodriguez,Tafon Nchukwi,105,-125,105.0,80.0,2021-09-18,"Las Vegas, Nevada, USA",US,Blue,False,LHW,MALE,3,1,2,Orthodox,182.88,195.58,205,4,3,32,26,900.0,Southpaw,193.04,208.28,205,Las Vegas,Nevada
Pannie Kianzad,Raquel Pennington,115,-135,115.0,74.07407407407408,2021-09-18,"Las Vegas, Nevada, USA",US,Blue,False,WBW,FEMALE,3,5,8,Orthodox,170.18,170.18,135,2,4,29,33,900.0,Orthodox,170.18,167.64,135,Las Vegas,Nevada
Montel Jackson,JP Buys,-630,450,15.873015873015872,450.0,2021-09-18,"Las Vegas, Nevada, USA",US,Red,False,BW,MALE,3,2,1,Orthodox,165.1,170.18,135,2,5,29,25,900.0,Southpaw,177.8,190.5,135,Las Vegas,Nevada
Erin Blanchfield,Sarah Alpar,-435,330,22.988505747126435,330.0,2021-09-18,"Las Vegas, Nevada, USA",US,Red,False,WFLY,FEMALE,3,1,1,Southpaw,162.56,160.02,135,0,0,22,30,900.0,Orthodox,162.56,167.64,135,Las Vegas,Nevada
Impa Kasanganay,Carlston Harris,-105,-115,95.23809523809524,86.95652173913044,2021-09-18,"Las Vegas, Nevada, USA",US,Blue,False,WW,MALE,3,0,1,Orthodox,182.88,193.04,170,1,4,27,34,158.0,Orthodox,180.34,190.5,170,Las Vegas,Nevada
Emily Whitmire,Hannah Goldy,-125,105,80.0,105.0,2021-09-18,"Las Vegas, Nevada, USA",US,Blue,False,WFLY,FEMALE,3,2,1,Orthodox,162.56,154.94,125,3,2,30,29,257.0,Orthodox,165.1,160.02,125,Las Vegas,Nevada
Derek Brunson,Darren Till,130,-150,130.0,66.66666666666666,2021-09-04,"Las Vegas, Nevada, USA",US,Red,False,MW,MALE,5,3,6,Southpaw,182.88,187.96,185,6,16,37,28,733.0,Southpaw,185.42,195.58,185,Las Vegas,Nevada
Tom Aspinall,Serghei Spivac,-240,195,41.66666666666667,195.0,2021-09-04,"Las Vegas, Nevada, USA",US,Red,False,HW,MALE,3,2,4,Orthodox,190.5,198.12,260,0,3,28,26,150.0,Orthodox,195.58,198.12,256,Las Vegas,Nevada
Alex Morono,David Zawada,-125,105,80.0,105.0,2021-09-04,"Las Vegas, Nevada, USA",US,Red,False,WW,MALE,3,3,1,Orthodox,182.88,190.5,170,4,8,31,31,900.0,Orthodox,180.34,182.88,170,Las Vegas,Nevada
Modestas Bukauskas,Khalil Rountree Jr.,-160,140,62.5,140.0,2021-09-04,"Las Vegas, Nevada, USA",US,Blue,False,LHW,MALE,3,5,4,Southpaw,185.42,193.04,205,2,1,27,31,450.0,Switch,190.5,198.12,205,Las Vegas,Nevada
Paddy Pimblett,Luigi Vendramini,-145,125,68.96551724137932,125.0,2021-09-04,"Las Vegas, Nevada, USA",US,Red,False,LW,MALE,3,2,1,Orthodox,172.72,185.42,155,0,0,26,25,265.0,Orthodox,177.8,185.42,155,Las Vegas,Nevada
Molly McCann,Ji Yeon Kim,-120,100,83.33333333333334,100.0,2021-09-04,"Las Vegas, Nevada, USA",US,Red,False,WFLY,FEMALE,3,3,3,Orthodox,170.18,182.88,125,3,3,31,31,900.0,Orthodox,162.56,157.48,125,Las Vegas,Nevada
Jack Shore,Liudvik Sholinian,-630,450,15.873015873015872,450.0,2021-09-04,"Las Vegas, Nevada, USA",US,Red,False,BW,MALE,3,0,0,Orthodox,177.8,180.34,135,0,3,26,31,900.0,Orthodox,172.72,180.34,135,Las Vegas,Nevada
Julian Erosa,Charles Jourdain,170,-200,170.0,50.0,2021-09-04,"Las Vegas, Nevada, USA",US,Red,False,CW,MALE,3,2,2,Switch,175.26,175.26,145,5,4,32,25,776.0,Southpaw,185.42,187.96,145,Las Vegas,Nevada
Dalcha Lungiambula,Marc-Andre Barriault,140,-160,140.0,62.5,2021-09-04,"Las Vegas, Nevada, USA",US,Blue,False,MW,MALE,3,3,1,Orthodox,185.42,187.96,185,1,2,34,31,900.0,Orthodox,172.72,193.04,185,Las Vegas,Nevada
Edson Barboza,Giga Chikadze,-125,105,80.0,105.0,2021-08-28,"Las Vegas, Nevada, USA",US,Blue,False,FW,MALE,5,1,6,Orthodox,182.88,187.96,145,9,16,35,33,704.0,Orthodox,180.34,190.5,145,Las Vegas,Nevada
Bryan Battle,Gilbert Urbina,-200,170,50.0,170.0,2021-08-28,"Las Vegas, Nevada, USA",US,Red,False,MW,MALE,3,0,0,Orthodox,190.5,190.5,185,0,0,26,25,435.0,Orthodox,185.42,195.58,185,Las Vegas,Nevada
Ricky Turcios,Brady Hiestand,-145,125,68.96551724137932,125.0,2021-08-28,"Las Vegas, Nevada, USA",US,Red,False,BW,MALE,3,0,0,Orthodox,172.72,180.34,135,1,0,28,22,900.0,Orthodox,175.26,180.34,135,Las Vegas,Nevada
Kevin Lee,Daniel Rodriguez,-145,125,68.96551724137932,125.0,2021-08-28,"Las Vegas, Nevada, USA",US,Blue,False,WW,MALE,3,1,6,Southpaw,185.42,187.96,170,6,11,28,34,900.0,Orthodox,175.26,195.58,170,Las Vegas,Nevada
Andre Petroski,Micheal Gillmore,-550,400,18.181818181818183,400.0,2021-08-28,"Las Vegas, Nevada, USA",US,Red,False,MW,MALE,3,0,0,Orthodox,180.34,182.88,185,0,0,30,34,792.0,Switch,182.88,185.42,185,Las Vegas,Nevada
Makhmud Muradov,Gerald Meerschaert,-575,410,17.391304347826086,410.0,2021-08-28,"Las Vegas, Nevada, USA",US,Blue,False,MW,MALE,3,6,7,Southpaw,185.42,195.58,185,0,3,31,33,409.0,Orthodox,187.96,190.5,185,Las Vegas,Nevada
Alessio Di Chirico,Abdul Razak Alhassan,-265,215,37.735849056603776,215.0,2021-08-28,"Las Vegas, Nevada, USA",US,Blue,False,MW,MALE,3,4,4,Orthodox,177.8,185.42,185,5,4,31,36,17.0,Orthodox,182.88,187.96,185,Las Vegas,Nevada
Sam Alvey,Wellington Turman,-105,-115,95.23809523809524,86.95652173913044,2021-08-28,"Las Vegas, Nevada, USA",US,Blue,False,MW,MALE,3,3,1,Orthodox,182.88,182.88,185,10,10,35,25,900.0,Southpaw,187.96,190.5,185,Las Vegas,Nevada
Dustin Jacoby,Darren Stewart,-200,170,50.0,170.0,2021-08-28,"Las Vegas, Nevada, USA",US,Red,False,LHW,MALE,3,6,5,Orthodox,182.88,187.96,205,2,3,33,30,184.0,Orthodox,190.5,193.04,205,Las Vegas,Nevada
JJ Aldrich,Vanessa Demopoulos,-475,350,21.052631578947366,350.0,2021-08-28,"Las Vegas, Nevada, USA",US,Red,False,WFLY,FEMALE,3,1,0,Orthodox,157.48,149.86,125,3,5,28,32,900.0,Southpaw,165.1,170.18,125,Las Vegas,Nevada
Jamall Emmers,Pat Sabatini,-150,130,66.66666666666666,130.0,2021-08-28,"Las Vegas, Nevada, USA",US,Blue,False,FW,MALE,3,0,1,Orthodox,172.72,177.8,145,2,1,32,30,113.0,Orthodox,177.8,187.96,145,Las Vegas,Nevada
Mana Martinez,Guido Cannetti,-305,240,32.78688524590164,240.0,2021-08-28,"Las Vegas, Nevada, USA",US,Red,False,BW,MALE,3,4,2,Southpaw,167.64,172.72,135,1,0,25,41,900.0,Orthodox,177.8,177.8,135,Las Vegas,Nevada
Jared Cannonier,Kelvin Gastelum,-145,125,68.96551724,125.0,2021-08-21,"Las Vegas, Nevada, USA",US,Red,False,MW,MALE,5,7,11,Southpaw,175.26,180.34,185,5,6,37,29,1500.0,Switch,180.34,195.58,185,Las Vegas,Nevada
Clay Guida,Mark Madsen,150,-170,150.0,58.82352941,2021-08-21,"Las Vegas, Nevada, USA",US,Blue,False,LW,MALE,3,0,2,Orthodox,172.72,182.88,155,15,18,39,36,900.0,Orthodox,170.18,177.8,155,Las Vegas,Nevada
Parker Porter,Chase Sherman,170,-200,170.0,50.0,2021-08-21,"Las Vegas, Nevada, USA",US,Red,False,HW,MALE,3,6,3,Orthodox,193.04,198.12,250,1,1,36,31,900.0,Orthodox,182.88,190.5,265,Las Vegas,Nevada
Trevin Jones,Saidyokub Kakhramonov,-150,130,66.66666667,130.0,2021-08-21,"Las Vegas, Nevada, USA",US,Blue,False,BW,MALE,3,0,0,Orthodox,172.72,175.26,135,0,1,31,25,879.0,Southpaw,170.18,177.8,135,Las Vegas,Nevada
Vinc Pichel,Austin Hubbard,-140,120,71.42857143,120.0,2021-08-21,"Las Vegas, Nevada, USA",US,Red,False,LW,MALE,3,3,3,Orthodox,177.8,180.34,155,2,6,38,29,900.0,Orthodox,177.8,182.88,155,Las Vegas,Nevada
Alexandre Pantoja,Brandon Royval,-170,150,58.82352941,150.0,2021-08-21,"Las Vegas, Nevada, USA",US,Red,False,FLY,MALE,3,1,2,Southpaw,175.26,172.72,125,3,7,31,29,406.0,Orthodox,165.1,170.18,125,Las Vegas,Nevada
Austin Lingo,Luis Saldana,100,-120,100.0,83.33333333,2021-08-21,"Las Vegas, Nevada, USA",US,Red,False,FW,MALE,3,0,2,Orthodox,180.34,185.42,145,1,1,27,30,900.0,Orthodox,177.8,177.8,145,Las Vegas,Nevada
Brian Kelleher,Domingo Pilarte,-170,150,58.82352941,150.0,2021-08-21,"Las Vegas, Nevada, USA",US,Red,False,BW,MALE,3,1,1,Southpaw,182.88,185.42,135,5,6,35,31,900.0,Switch,167.64,167.64,135,Las Vegas,Nevada
Bea Malecki,Josiane Nunes,-155,135,64.51612903,135.0,2021-08-21,"Las Vegas, Nevada, USA",US,Blue,False,WBW,FEMALE,3,0,0,Southpaw,157.48,170.18,135,0,2,29,27,294.0,Orthodox,175.26,187.96,135,Las Vegas,Nevada
William Knight,Fabio Cherant,-170,150,58.82352941,150.0,2021-08-21,"Las Vegas, Nevada, USA",US,Red,False,LHW,MALE,3,2,0,Southpaw,185.42,187.96,205,1,3,33,26,238.0,Orthodox,177.8,185.42,205,Las Vegas,Nevada
Roosevelt Roberts,Ignacio Bahamondes,-155,135,64.51612903,135.0,2021-08-21,"Las Vegas, Nevada, USA",US,Blue,False,LW,MALE,3,1,1,Orthodox,190.5,190.5,155,2,5,27,23,895.0,Orthodox,187.96,185.42,155,Las Vegas,Nevada
Sasha Palatnikov,Ramiz Brahimaj,145,-165,145.0,60.60606061,2021-08-21,"Las Vegas, Nevada, USA",US,Blue,False,WW,MALE,3,1,0,Orthodox,177.8,182.88,170,1,1,32,28,153.0,Switch,185.42,182.88,170,Las Vegas,Nevada
Derrick Lewis,Ciryl Gane,250,-320,250.0,31.25,2021-08-07,"Houston, Texas, USA",US,Blue,True,HW,MALE,5,0,6,Orthodox,193.04,205.74,245,5,16,36,31,851.0,Orthodox,190.5,200.66,260,Houston,Texas
Jose Aldo,Pedro Munhoz,-105,-115,95.23809524,86.95652174,2021-08-07,"Houston, Texas, USA",US,Red,False,BW,MALE,3,5,9,Orthodox,167.64,165.1,135,6,19,34,34,900.0,Orthodox,170.18,177.8,135,Houston,Texas
Michael Chiesa,Vicente Luque,-115,-105,86.95652174,95.23809524,2021-08-07,"Houston, Texas, USA",US,Blue,False,WW,MALE,3,3,13,Orthodox,180.34,190.5,170,4,11,33,29,205.0,Southpaw,185.42,190.5,170,Houston,Texas
Tecia Torres,Angela Hill,-160,140,62.5,140.0,2021-08-07,"Houston, Texas, USA",US,Red,False,WSW,FEMALE,3,9,8,Orthodox,160.02,162.56,115,5,8,31,36,900.0,Orthodox,154.94,152.4,115,Houston,Texas
Song Yadong,Casey Kenney,105,-125,105.0,80.0,2021-08-07,"Houston, Texas, USA",US,Red,False,BW,MALE,3,3,6,Southpaw,170.18,172.72,135,1,5,23,30,900.0,Orthodox,172.72,170.18,135,Houston,Texas
Bobby Green,Rafael Fiziev,235,-300,235.0,33.33333333,2021-08-07,"Houston, Texas, USA",US,Blue,False,LW,MALE,3,1,3,Switch,172.72,180.34,155,8,12,34,28,900.0,Orthodox,177.8,180.34,155,Houston,Texas
Vince Morales,Drako Rodriguez,-110,-110,90.90909091,90.90909091,2021-08-07,"Houston, Texas, USA",US,Red,False,BW,MALE,3,1,1,Orthodox,172.72,175.26,135,4,1,30,25,900.0,Orthodox,170.18,177.8,135,Houston,Texas
Alonzo Menifield,Ed Herman,-290,230,34.48275862,230.0,2021-08-07,"Houston, Texas, USA",US,Red,False,LHW,MALE,3,11,13,Orthodox,185.42,195.58,205,2,5,33,40,900.0,Orthodox,182.88,193.04,205,Houston,Texas
Karolina Kowalkiewicz,Jessica Penne,-145,125,68.96551724,125.0,2021-08-07,"Houston, Texas, USA",US,Blue,False,WSW,FEMALE,3,4,5,Orthodox,165.1,170.18,115,6,5,35,38,272.0,Orthodox,160.02,162.56,115,Houston,Texas
Manel Kape,Ode Osbourne,-200,170,50.0,170.0,2021-08-07,"Houston, Texas, USA",US,Red,False,FLY,MALE,3,1,2,Southpaw,170.18,185.42,125,2,0,27,29,284.0,Southpaw,165.1,172.72,125,Houston,Texas
Miles Johns,Anderson Dos Santos,-235,190,42.55319149,190.0,2021-08-07,"Houston, Texas, USA",US,Red,False,BW,MALE,3,2,1,Orthodox,165.1,177.8,135,1,3,27,36,676.0,Orthodox,170.18,167.64,135,Houston,Texas
Victoria Leonardo,Melissa Gatto,-105,-115,95.23809524,86.95652174,2021-08-07,"Houston, Texas, USA",US,Blue,False,WFLY,FEMALE,3,0,0,Orthodox,165.1,175.26,125,1,1,31,25,600.0,Orthodox,165.1,162.56,125,Houston,Texas
Johnny Munoz,Jamey Simmons,-350,270,28.57142857,270.0,2021-08-07,"Houston, Texas, USA",US,Red,False,BW,MALE,3,1,0,Orthodox,167.64,177.8,135,1,0,28,28,455.0,Orthodox,175.26,180.34,135,Houston,Texas
Uriah Hall,Sean Strickland,175,-210,175.0,47.61904762,2021-07-31,"Las Vegas, Nevada, USA",US,Blue,False,MW,MALE,5,3,10,Orthodox,185.42,193.04,185,7,10,37,30,1500.0,Orthodox,182.88,200.66,185,Las Vegas,Nevada
Cheyanne Buys,Gloria de Paula,-145,125,68.96551724,125.0,2021-07-31,"Las Vegas, Nevada, USA",US,Red,False,WSW,FEMALE,3,1,1,Orthodox,165.1,170.18,115,1,1,26,26,60.0,Switch,160.02,160.02,115,Las Vegas,Nevada
Niklas Stolze,Jared Gooden,-180,155,55.55555556,155.0,2021-07-31,"Las Vegas, Nevada, USA",US,Blue,False,WW,MALE,3,2,0,Orthodox,182.88,195.58,170,1,0,28,27,68.0,Switch,182.88,190.5,170,Las Vegas,Nevada
Collin Anglin,Melsik Baghdasaryan,135,-155,135.0,64.51612903,2021-07-31,"Las Vegas, Nevada, USA",US,Blue,False,FW,MALE,3,0,1,Southpaw,175.26,177.8,145,0,1,28,29,410.0,Orthodox,175.26,180.34,145,Las Vegas,Nevada
Bryan Barberena,Jason Witt,-265,215,37.73584906,215.0,2021-07-31,"Las Vegas, Nevada, USA",US,Blue,False,WW,MALE,3,2,1,Orthodox,177.8,177.8,170,5,6,32,34,900.0,Southpaw,182.88,182.88,170,Las Vegas,Nevada
Chris Gruetzemacher,Rafa Garcia,270,-350,270.0,28.57142857,2021-07-31,"Las Vegas, Nevada, USA",US,Red,False,LW,MALE,3,1,0,Orthodox,170.18,177.8,155,3,3,35,26,900.0,Orthodox,172.72,172.72,155,Las Vegas,Nevada
Jinh Yu Frey,Ashley Yoder,140,-160,140.0,62.5,2021-07-31,"Las Vegas, Nevada, USA",US,Red,False,WSW,FEMALE,3,6,3,Southpaw,170.18,175.26,115,2,1,36,33,900.0,Southpaw,160.02,165.1,115,Las Vegas,Nevada
Ryan Benoit,Zarrukh Adashev,-140,120,71.42857143,120.0,2021-07-31,"Las Vegas, Nevada, USA",US,Blue,False,FLY,MALE,3,2,0,Southpaw,165.1,165.1,125,5,3,31,29,900.0,Orthodox,165.1,172.72,125,Las Vegas,Nevada
Phil Rowe,Orion Cosce,145,-165,145.0,60.60606061,2021-07-31,"Las Vegas, Nevada, USA",US,Red,False,WW,MALE,3,0,1,Switch,180.34,180.34,170,1,1,31,27,561.0,Orthodox,190.5,203.2,170,Las Vegas,Nevada
Cory Sandhagen,TJ Dillashaw,-210,175,47.61904762,175.0,2021-07-24,"Las Vegas, Nevada, USA",US,Blue,False,BW,MALE,5,4,12,Orthodox,167.64,170.18,135,1,7,29,35,1500.0,Switch,180.34,177.8,135,Las Vegas,Nevada
Kyler Phillips,Raulian Paiva,-320,250,31.25,250.0,2021-07-24,"Las Vegas, Nevada, USA",US,Blue,False,BW,MALE,3,2,3,Orthodox,172.72,175.26,125,0,4,26,25,900.0,Orthodox,172.72,182.88,135,Las Vegas,Nevada
Darren Elkins,Darrick Minner,130,-155,130.0,64.51612903,2021-07-24,"Las Vegas, Nevada, USA",US,Red,False,FW,MALE,3,2,2,Orthodox,170.18,175.26,145,8,15,37,31,528.0,Orthodox,177.8,180.34,145,Las Vegas,Nevada
Miranda Maverick,Maycee Barber,-155,135,64.51612903,135.0,2021-07-24,"Las Vegas, Nevada, USA",US,Blue,False,WFLY,FEMALE,3,2,4,Switch,165.1,165.1,125,0,2,24,23,900.0,Southpaw,160.02,165.1,125,Las Vegas,Nevada
Adrian Yanez,Randy Costa,-240,195,41.66666667,195.0,2021-07-24,"Las Vegas, Nevada, USA",US,Red,False,BW,MALE,3,1,2,Switch,175.26,185.42,135,0,3,27,27,431.0,Orthodox,170.18,177.8,135,Las Vegas,Nevada
Punahele Soriano,Brendan Allen,-110,-110,90.90909091,90.90909091,2021-07-24,"Las Vegas, Nevada, USA",US,Blue,False,MW,MALE,3,1,5,Orthodox,187.96,190.5,185,0,3,28,25,900.0,Southpaw,180.34,182.88,185,Las Vegas,Nevada
Nassourdine Imavov,Ian Heinisch,135,-155,135.0,64.51612903,2021-07-24,"Las Vegas, Nevada, USA",US,Red,False,MW,MALE,3,3,4,Orthodox,180.34,182.88,185,1,1,26,32,489.0,Orthodox,190.5,190.5,185,Las Vegas,Nevada
Mickey Gall,Jordan Williams,150,-170,150.0,58.82352941,2021-07-24,"Las Vegas, Nevada, USA",US,Red,False,WW,MALE,3,2,1,Southpaw,185.42,190.5,185,3,5,29,30,177.0,Switch,187.96,187.96,170,Las Vegas,Nevada
Julio Arce,Andre Ewell,-220,180,45.45454545,180.0,2021-07-24,"Las Vegas, Nevada, USA",US,Red,False,BW,MALE,3,3,4,Southpaw,172.72,190.5,135,2,4,31,33,525.0,Southpaw,170.18,177.8,145,Las Vegas,Nevada
Sijara Eubanks,Elise Reed,-410,310,24.3902439,310.0,2021-07-24,"Las Vegas, Nevada, USA",US,Red,False,WFLY,FEMALE,3,0,0,Orthodox,160.02,160.02,125,4,4,36,28,229.0,Orthodox,162.56,170.18,135,Las Vegas,Nevada
Diana Belbita,Hannah Goldy,-120,100,83.33333333,100.0,2021-07-24,"Las Vegas, Nevada, USA",US,Red,False,WSW,FEMALE,3,1,1,Orthodox,162.56,154.94,125,2,0,25,29,900.0,Orthodox,170.18,172.72,125,Las Vegas,Nevada
Islam Makhachev,Thiago Moises,-900,600,11.11111111,600.0,2021-07-17,"Las Vegas, Nevada, USA",US,Red,False,LW,MALE,5,2,5,Orthodox,175.26,177.8,155,1,8,29,26,1058.0,Southpaw,177.8,177.8,155,Las Vegas,Nevada
Marion Reneau,Miesha Tate,155,-180,155.0,55.55555556,2021-07-17,"Las Vegas, Nevada, USA",US,Blue,False,WBW,FEMALE,3,6,11,Orthodox,167.64,165.1,135,6,5,44,34,713.0,Orthodox,167.64,172.72,135,Las Vegas,Nevada
